 

stn;time;fhh010mx
BER;200910;5.8
BER;200911;7.1
BER;200912;6.1
BER;201001;6.1
BER;201002;10.6
BER;201003;7.7
BER;201004;6.4
BER;201005;6.3
BER;201006;6.7
BER;201007;7.9
BER;201008;7.7
BER;201009;7.0
BER;201010;5.3
BER;201011;6.4
BER;201012;9.2
BER;201101;4.7
BER;201102;5.4
BER;201103;7.3
BER;201104;6.6
BER;201105;6.9
BER;201106;6.3
BER;201107;5.5
BER;201108;7.8
BER;201109;5.5
BER;201110;6.8
BER;201111;4.5
BER;201112;9.4
BER;201201;9.9
BER;201202;6.5
BER;201203;5.9
BER;201204;8.6
BER;201205;7.3
BER;201206;5.4
BER;201207;7.1
BER;201208;6.4
BER;201209;7.8
BER;201210;5.6
BER;201211;6.1
BER;201212;7.2
BER;201301;6.6
BER;201302;8.2
BER;201303;6.9
BER;201304;7.7
BER;201305;6.7
BER;201306;6.8
BER;201307;5.9
BER;201308;5.4
BER;201309;7.9
BER;201310;6.2
BER;201311;7.3
BER;201312;4.9
BER;201401;6.4
BER;201402;8.5
BER;201403;7.6
BER;201404;6.5
BER;201405;7.0
BER;201406;6.2
BER;201407;6.0
BER;201408;9.8
BER;201409;5.9
BER;201410;7.0
BER;201411;3.9
BER;201412;6.7
BER;201501;8.7
BER;201502;5.5
BER;201503;10.9
BER;201504;9.6
BER;201505;7.0
BER;201506;6.9
BER;201507;6.9
BER;201508;6.6
BER;201509;7.9
BER;201510;5.8
BER;201511;9.4
BER;201512;4.6
BER;201601;9.2
BER;201602;8.7
BER;201603;8.3
BER;201604;7.1
BER;201605;7.7
BER;201606;6.0
BER;201607;5.7
BER;201608;5.1
BER;201609;5.3
BER;201610;6.7
BER;201611;8.1
BER;201612;6.4
BER;201701;7.3
BER;201702;10.8
BER;201703;8.4
BER;201704;5.9
BER;201705;5.9
BER;201706;8.8
BER;201707;6.9
BER;201708;6.4
BER;201709;6.7
BER;201710;6.2
BER;201711;9.3
BER;201712;7.8
BER;201801;11.4
BER;201802;7.6
BER;201803;7.3
BER;201804;10.0
BER;201805;5.3
BER;201806;6.8
BER;201807;5.1
BER;201808;6.1
BER;201809;6.9
BER;201810;8.2
BER;201811;6.0
BER;201812;8.8
BER;201901;9.2
BER;201902;8.8
BER;201903;12.1
BER;201904;8.6
BER;201905;8.2
BER;201906;5.5
BER;201907;7.7
BER;201908;5.7
BER;201909;7.3
BER;201910;5.1
BER;201911;8.1
BER;201912;11.2
BER;202001;8.9
BER;202002;11.4
BER;202003;9.0
BER;202004;7.4
BER;202005;6.7
BER;202006;7.9
BER;202007;5.6
BER;202008;7.1
BER;202009;7.1
BER;202010;7.2
BER;202011;6.5
BER;202012;6.9
BER;202101;7.5
BER;202102;7.3
BER;202103;12.0
BER;202104;7.2
BER;202105;9.6
BER;202106;5.6
BER;202107;5.9
BER;202108;5.4
BER;202109;5.4
BER;202110;8.7
BER;202111;6.6
BER;202112;7.5
BER;202201;7.2
BER;202202;9.4
BER;202203;8.1
BER;202204;9.5
BER;202205;7.1
BER;202206;6.9
BER;202207;6.1
BER;202208;6.4
BER;202209;6.2
BER;202210;5.9
BER;202211;6.9
BER;202212;8.2
BER;202301;8.0

stn;time;fhh010mx
DAV;200402;9.8
DAV;200403;11.1
DAV;200404;8.4
DAV;200405;8.7
DAV;200406;9.4
DAV;200407;10.6
DAV;200408;9.9
DAV;200409;8.9
DAV;200410;10.1
DAV;200411;9.4
DAV;200412;9.8
DAV;200501;8.6
DAV;200502;9.4
DAV;200503;8.1
DAV;200504;8.9
DAV;200505;10.0
DAV;200506;8.7
DAV;200507;11.3
DAV;200508;8.5
DAV;200509;8.4
DAV;200510;-
DAV;200511;7.0
DAV;200512;9.5
DAV;200601;7.4
DAV;200602;8.7
DAV;200603;10.8
DAV;200604;10.1
DAV;200605;9.0
DAV;200606;7.0
DAV;200607;6.4
DAV;200608;5.1
DAV;200609;4.8
DAV;200610;6.3
DAV;200611;5.1
DAV;200612;6.1
DAV;200701;9.2
DAV;200702;7.4
DAV;200703;8.3
DAV;200704;7.3
DAV;200705;9.9
DAV;200706;8.4
DAV;200707;9.0
DAV;200708;10.0
DAV;200709;9.1
DAV;200710;8.0
DAV;200711;9.5
DAV;200712;6.8
DAV;200801;9.0
DAV;200802;7.0
DAV;200803;9.1
DAV;200804;8.1
DAV;200805;7.0
DAV;200806;9.3
DAV;200807;8.7
DAV;200808;8.5
DAV;200809;9.0
DAV;200810;7.7
DAV;200811;8.9
DAV;200812;7.4
DAV;200901;6.3
DAV;200902;8.0
DAV;200903;9.7
DAV;200904;8.3
DAV;200905;8.0
DAV;200906;8.3
DAV;200907;8.7
DAV;200908;8.2
DAV;200909;8.1
DAV;200910;7.9
DAV;200911;6.4
DAV;200912;8.9
DAV;201001;6.3
DAV;201002;8.0
DAV;201003;8.4
DAV;201004;6.9
DAV;201005;6.9
DAV;201006;8.5
DAV;201007;7.7
DAV;201008;8.1
DAV;201009;7.3
DAV;201010;9.1
DAV;201011;7.2
DAV;201012;8.0
DAV;201101;6.3
DAV;201102;7.1
DAV;201103;6.0
DAV;201104;7.8
DAV;201105;6.8
DAV;201106;7.9
DAV;201107;8.4
DAV;201108;9.3
DAV;201109;9.1
DAV;201110;8.3
DAV;201111;5.9
DAV;201112;8.9
DAV;201201;8.5
DAV;201202;7.0
